"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","18.537","18.659","0.993"
"RAM","Gouraud","17.698","17.674","1.001"
"RAM","Point","57.143","48.125","1.187"
"RAM","Bilinear","137.5","107.857","1.275"
"RAM","Depth","144.167","115.714","1.246"
"RAM","Alpha","175","146.667","1.193"
"RAM","Read","4.688","4.665","1.005"
"RAM","Write","5.034","5.068","0.993"
"VRAM","Small","19.231","19.359","0.993"
"VRAM","Gouraud","20","19.974","1.001"
"VRAM","Point","88.333","79.5","1.111"
"VRAM","Bilinear","255","226.25","1.127"
"VRAM","Depth","295","265","1.113"
"VRAM","Alpha","353.333","325","1.087"
"VRAM","Read","62.5","62.5","1"
"VRAM","Write","9.679","9.679","1"
