"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","19.359","18.659","1.038"
"RAM","Gouraud","20.27","17.674","1.147"
"RAM","Point","84","48.125","1.745"
"RAM","Bilinear","165.2","107.857","1.532"
"RAM","Depth","171","115.714","1.478"
"RAM","Alpha","206.25","146.667","1.406"
"RAM","Read","4.665","4.665","1"
"RAM","Write","5.034","5.068","0.993"
"VRAM","Small","20.132","19.359","1.04"
"VRAM","Gouraud","22.5","19.974","1.126"
"VRAM","Point","115","79.5","1.447"
"VRAM","Bilinear","281.667","226.25","1.245"
"VRAM","Depth","320","265","1.208"
"VRAM","Alpha","382.5","325","1.177"
"VRAM","Read","62.5","62.5","1"
"VRAM","Write","9.679","9.679","1"
