"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","18.537","18.537","1"
"RAM","Gouraud","17.698","17.674","1.001"
"RAM","Point","57.143","57.143","1"
"RAM","Bilinear","137.5","137.5","1"
"RAM","Depth","144.167","144.167","1"
"RAM","Alpha","175","175","1"
"RAM","Read","4.688","4.658","1.006"
"RAM","Write","5.034","5.068","0.993"
"VRAM","Small","19.231","19.359","0.993"
"VRAM","Gouraud","20","20","1"
"VRAM","Point","88.333","88.333","1"
"VRAM","Bilinear","255","253.333","1.007"
"VRAM","Depth","295","293.333","1.006"
"VRAM","Alpha","353.333","351.667","1.005"
"VRAM","Read","62.5","62.917","0.993"
"VRAM","Write","9.679","9.679","1"
