"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","19.359","20.405","0.949"
"RAM","Gouraud","20.27","23.438","0.865"
"RAM","Point","84.444","65","1.299"
"RAM","Bilinear","164","145.833","1.125"
"RAM","Depth","171","154","1.11"
"RAM","Alpha","205","185","1.108"
"RAM","Read","4.658","4.658","1"
"RAM","Write","5.034","5.068","0.993"
"VRAM","Small","19.974","21.111","0.946"
"VRAM","Gouraud","22.5","25.862","0.87"
"VRAM","Point","115","96.25","1.195"
"VRAM","Bilinear","281.667","263.333","1.07"
"VRAM","Depth","320","303","1.056"
"VRAM","Alpha","382.5","363.333","1.053"
"VRAM","Read","62.615","62.5","1.002"
"VRAM","Write","9.679","9.679","1"
