"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","19.359","18.537","1.044"
"RAM","Gouraud","20.132","17.674","1.139"
"RAM","Point","83.889","57.692","1.454"
"RAM","Bilinear","164.2","138.333","1.187"
"RAM","Depth","172","145.833","1.179"
"RAM","Alpha","206.25","177","1.165"
"RAM","Read","4.839","4.658","1.039"
"RAM","Write","5.068","5.034","1.007"
"VRAM","Small","20.132","19.359","1.04"
"VRAM","Gouraud","22.5","20","1.125"
"VRAM","Point","115.143","88.333","1.304"
"VRAM","Bilinear","281.667","255","1.105"
"VRAM","Depth","320","294.667","1.086"
"VRAM","Alpha","382.5","353.333","1.083"
"VRAM","Read","62.5","62.583","0.999"
"VRAM","Write","9.692","9.679","1.001"
