"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","19.359","19.385","0.999"
"RAM","Gouraud","20.27","20.132","1.007"
"RAM","Point","84.444","84.444","1"
"RAM","Bilinear","164","164","1"
"RAM","Depth","171","172","0.994"
"RAM","Alpha","205","206.25","0.994"
"RAM","Read","4.658","4.658","1"
"RAM","Write","5.034","5.068","0.993"
"VRAM","Small","19.974","20.132","0.992"
"VRAM","Gouraud","22.5","22.5","1"
"VRAM","Point","115","115.714","0.994"
"VRAM","Bilinear","281.667","281.667","1"
"VRAM","Depth","320","320","1"
"VRAM","Alpha","382.5","385","0.994"
"VRAM","Read","62.615","62.833","0.997"
"VRAM","Write","9.679","9.679","1"
